coin,net,acc,p
AVAX,0.038990990990990904,True,0.7527503673388591
TRX,0.03846721236089401,True,0.6758246638504062
BTC,0.03764331284483502,True,0.8181636855406438
AVAX,0.03733839964237817,True,0.7331021555190136
BTC,0.03723777810834328,True,0.6849643903832525
XRP,0.03703243540406809,True,0.6108367218782812
ETH,0.036908599812301324,True,0.8729866755573348
BTC,0.0368495548001857,True,0.36087347509733925
BTC,0.03668234145304772,True,0.4986022931605416
LINK,0.03655140186915884,True,0.6128779422684199
DOGE,0.036521788664198196,True,0.6713737954495742
SOL,0.036370965507688036,False,0.23091905297431825
TRX,0.03635284618490098,True,0.49214308959598885
TRX,0.03630480847595763,True,0.7624239453819422
XRP,0.03627361563517928,True,0.4784372015233264
SOL,0.036254672583030834,True,0.6194733905645055
LINK,0.036190954773869466,True,0.8114892052732549
ETH,0.03605196731754279,True,0.7001630617051209
AVAX,0.03575933609958515,True,0.3513508788210802
XRP,0.03571361225692393,False,0.2697792297712236
BNB,0.03539551253849549,True,0.3687251763638073
SOL,0.03504354961608347,True,0.5169865155941518
ADA,0.03503204955561534,True,0.8233509595264463
TRX,0.034818980667838284,False,0.29030744586064533
TRX,0.03469801115086968,True,0.6009795523146524
TRX,0.03467078697981041,True,0.895222308622229
BNB,0.034663324957360686,True,0.6079974915091289
SOL,0.034642148593022615,True,0.7215516850654213
BTC,0.0345831412528399,True,0.5324821611450048
TRX,0.03370850202429154,True,0.7332810453124983
BTC,0.033704785440346274,True,0.4969121948110368
ADA,0.03358875219683655,True,0.7521098254721448
DOGE,0.03341503281462832,True,0.4132815579981097
AVAX,0.03341315345699836,True,0.7203326510206904
TRX,0.03323120478137764,True,0.6239572433263239
BNB,0.03312396694214881,True,0.5016299549133328
XRP,0.033061136756052045,True,0.3431983251712423
LINK,0.033057716973065476,False,0.22276144342979984
SOL,0.03257051961823976,True,0.5648586116623543
TRX,0.032555288461538545,True,0.5612429601168641
XRP,0.03253947368421062,True,0.7215594894753217
AVAX,0.032521158129175776,True,0.7062687558809934
AVAX,0.032443603330809756,True,0.4303967951425643
ADA,0.03243760638994364,True,0.31846112161303913
BNB,0.03212405834268317,True,0.7346034250712633
ETH,0.03212325239530012,True,0.6768719600006157
DOGE,0.032073872154831706,True,0.6583039138648208
AVAX,0.03193157599551322,True,0.48386685756613546
ETH,0.03153227892171495,True,0.4369667243328572
SOL,0.03149935184553443,True,0.6323848898416227
BTC,0.03137127903258197,True,0.6549368139843981
XRP,0.03120276067897776,True,0.6413830235332351
ETH,0.031157984693392926,True,0.43194856955932714
ETH,0.03100183221169095,True,0.7058212675916778
BTC,0.03096137479320582,True,0.8202695868328126
BNB,0.03026857887874823,True,0.7594760597496598
XRP,0.030214765100671226,True,0.7659824155473218
LINK,0.030139577594123113,True,0.8675152610182889
DOGE,0.030094237144670855,True,0.32331305278915035
SOL,0.02985083456581461,True,0.3089372479743318
AVAX,0.029611893583724624,False,0.21836777551326825
BTC,0.029516579608681814,True,0.5588117515808242
AVAX,0.029234256926951918,False,0.289629984628676
DOGE,0.029005221932114855,False,0.19856575154458636
TRX,0.02882916913695266,True,0.3775754155550212
ETH,0.028535734055294304,True,0.5453934315931384
TRX,0.02841825095057038,True,0.6376332855289419
AVAX,0.02828603477285485,False,0.24445035893041575
AVAX,0.028276437033786905,True,0.40471023623869257
SOL,0.02817451157616624,True,0.3486700159250633
LINK,0.02796348986529007,True,0.7762769243702897
ETH,0.02794175728906656,True,0.8085687636331423
LINK,0.0279065420560749,True,0.6649326792431053
BNB,0.02788513692554062,True,0.551737039645632
BNB,0.027874665497482853,True,0.4541377540476162
DOGE,0.027871372382268556,True,0.4075928200841023
ETH,0.027842473745624208,True,0.48401515502596887
DOGE,0.027693547363745852,True,0.683042327508271
DOGE,0.02755107811947699,False,0.2787613193667591
ETH,0.027237067062648057,True,0.39140323215395323
TRX,0.026941233218104266,True,0.6258154269763607
ADA,0.026718869194525485,False,0.27373629977575936
AVAX,0.02662985685071595,True,0.9129418280513811
ADA,0.02660286028602865,True,0.6242502947564145
LINK,0.026557954307273146,True,0.689850819599878
AVAX,0.026491030601477172,True,0.5858349681045146
BNB,0.026206234494660974,True,0.3972752780056573
TRX,0.02617391304347816,True,0.6025671818812834
SOL,0.026142589118198778,True,0.6569864145053076
TRX,0.026131868131868075,True,0.8733244568152423
AVAX,0.026029898558462383,True,0.6725627836147595
ADA,0.025890056588520727,True,0.5730266974446367
XRP,0.02580714252884131,True,0.39580813234280043
DOGE,0.02567497988736922,True,0.608046513850784
ETH,0.025628534138314674,True,0.49569257002090283
TRX,0.02559658805820364,True,0.6417743419419425
BTC,0.025336629825381207,True,0.7305974988125321
XRP,0.025289909187295567,False,0.15088135378489304
SOL,0.025153871940999162,True,0.6245192990136527
DOGE,0.025113092530252068,True,0.7131727770355465
TRX,0.025061855670102995,True,0.7324907822712076
LINK,0.02505061082024418,True,0.6803713552332313
BNB,0.024927784577723378,True,0.6181242779436141
ADA,0.02468987525384403,True,0.384303036017853
TRX,0.02439751552795033,True,0.6726850770778884
