,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
size,190.2633810043335,165.4956595301628,160.98249405622482,194.62624633312225,187.8229776620865,185.86926198005676,197.31131899356842,204.88463765382767,189.6314046382904,213.87861078977585,187.66896682977676,204.38987785577774,181.76240521669388,174.1286574602127,142.95041239261627,144.47956186532974
dv_chg,139.19238811731339,153.46890515089035,145.84127789735794,152.85977697372437,141.20555639266968,117.9884541630745,88.53768229484558,114.57424461841583,110.71963089704514,112.66421318054199,96.35448694229126,90.27407002449036,78.09029620885849,88.53288722038269,69.47975891828537,73.3795645236969
beta_60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
resmom_30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
age,312.59526494145393,247.42607790231705,262.37630593776703,303.4807460308075,268.73491102457047,281.86338609457016,259.65927952528,290.1962323188782,268.1247474551201,337.90641498565674,475.6153073310852,390.7016376852989,351.88673228025436,299.63553780317307,363.46838587522507,398.00230491161346
w_ret_4,132.46449121832848,142.0488298535347,121.805957198143,123.11174702644348,100.23912751674652,121.59039068222046,132.14657294750214,122.41141313314438,116.4151474237442,110.56453317403793,129.12399649620056,134.3632269501686,129.73778167366982,172.02042001485825,131.8947411775589,149.7115913629532
w_ret_13,129.14045768976212,139.783327460289,133.1758463382721,146.3437733054161,124.64761072397232,138.4066790342331,134.42212998867035,143.8801463842392,125.92722129821777,122.59416353702545,135.72405910491943,124.34868997335434,100.88962543010712,110.00304663181305,128.71334171295166,116.22430521249771
w_rsi_14,121.94519525766373,119.77659875154495,130.96472424268723,143.32875937223434,126.12887126207352,121.79059582948685,103.62357312440872,108.61847168207169,102.8397154211998,113.68577933311462,95.98204731941223,98.12507790327072,104.86234021186829,107.53983509540558,127.69746798276901,120.7618647813797
w_er_13,83.09623491764069,98.18094211816788,93.8476459980011,102.24395394325256,62.5375599861145,70.21834689378738,86.86626034975052,74.08832669258118,77.27096199989319,77.73864179849625,69.53135234117508,61.0824339389801,83.87769520282745,82.54761523008347,83.30560725927353,76.40859913825989
mkt_ret_7,641.2247183322906,648.6605911254883,657.1440021395683,739.8507836461067,796.445071220398,877.8783218860626,855.7199977636337,902.1373174786568,899.1577228307724,867.3548897504807,1134.0604927539825,1124.1510397195816,1282.3772473931313,1184.960783481598,1279.3441378474236,1293.3716198205948
mkt_ret_30,537.0736449956894,622.276517033577,571.0466766953468,533.0673925876617,548.7072731852531,604.1204063892365,633.8222846388817,601.4785650968552,618.0025919079781,602.1259844303131,662.557686150074,654.0750536322594,769.7547272443771,924.1138184666634,794.5338079929352,878.5046246647835
mkt_ret_90,644.137142598629,651.075603723526,610.7748616337776,618.0060238242149,596.756952881813,643.3014488220215,603.9547394514084,611.6722068786621,630.4419004917145,641.434366941452,677.3818009495735,825.0931463837624,836.2571442723274,925.7836794257164,965.2036531567574,996.7929438948631
lead_ret_30,498.0517174601555,518.7277207374573,484.67827093601227,471.9412833452225,487.8749934434891,577.8319771289825,586.8397859334946,522.5444222688675,474.1054952144623,504.72294145822525,650.740275323391,608.9383881092072,764.3455595374107,726.5110287666321,885.8950963616371,829.0304805636406
breadth_30,508.99681371450424,542.4247591495514,541.3043450713158,458.92006409168243,529.690468609333,631.7768756151199,584.7390642166138,638.6077824831009,731.4963547587395,732.8961502313614,853.3737228512764,889.0783094167709,889.690520465374,990.6100870370865,1012.8231536149979,981.9120319485664
disp_30,597.1121230125427,644.1704743504524,680.2024967074394,661.1693955659866,691.1107116937637,765.8296875357628,762.3265897035599,694.8068630695343,722.6598294973373,768.5905276536942,1001.3556077480316,1043.2531814575195,1155.048379957676,1115.4798350334167,1082.7893232107162,1225.4208870530128
