n,acc,bal_acc,mcc,capture,flips_per_oracle_flip,flip_precision,entry_lag_frac,missed_move_frac,exit_giveback_frac,ls_sharpe,lf_sharpe,bh_sharpe,tf,asset,clf,period
2841,0.6722984864484336,0.6703453776820611,0.33068581094045424,0.14110519288992693,1.8235294117647058,0.7096774193548387,0.29245283018867924,0.3163933267059332,0.35269861352915866,0.3902255230575527,0.6987672196288142,0.78658587079617,1D,BNBUSDT,EMA cross (stock calm-tuned),all history
2841,0.6902499120028159,0.6835981494775465,0.3583677216153357,0.2943713199219073,2.0588235294117645,0.7428571428571429,0.18944844124700239,0.31473696445008353,0.3049860385939039,0.8237829854086068,1.0404288555380488,0.78658587079617,1D,BNBUSDT,SuperTrend (stock calm-tuned),all history
2841,0.6518831397395284,0.6586846933078089,0.3065278693378602,0.12473478225191281,1.5294117647058822,0.8076923076923077,0.31512605042016806,0.46885727296551105,0.4116602379088614,0.3452891531680167,0.7228818886576353,0.78658587079617,1D,BNBUSDT,Online directional-change (stock calm-tuned),all history
2820,0.7464539007092199,0.7091949118987939,0.44052062391547303,0.29399857991448486,6.5,0.5769230769230769,0.11330241382945083,0.31821253224221424,0.3216169981511705,0.7931164852968652,0.9485185097832696,0.7633240368249601,1D,BNBUSDT,"STOCK model (accurate, unchanged)",2019-2026
2820,0.7354609929078014,0.6967372736866432,0.4152668190029674,0.24982112749279584,2.25,0.6666666666666666,0.24524384719915446,0.3043943500335396,0.2585351706013108,0.6901862849946957,0.8628326181191835,0.7633240368249601,1D,BNBUSDT,"STOCK model (calm, unchanged)",2019-2026
2820,0.6432624113475177,0.6322148366859144,0.2585972480575995,0.09968084156725779,7.1875,0.5652173913043478,0.24039829302987198,0.32102243942408143,0.35520432312697797,0.24360149038404086,0.6211982349954058,0.7633240368249601,1D,BNBUSDT,EMA200,2019-2026
2820,0.7180851063829787,0.7151841454999135,0.41960821657325253,0.31277168215049855,5.3125,0.6,0.12193638493422237,0.2666196622846133,0.22563589603548773,0.8517248708573382,1.0361408993168157,0.7633240368249601,1D,BNBUSDT,EMA cross (stock-tuned),2019-2026
2820,0.7085106382978723,0.7079610263471331,0.40441720438051965,0.2781258216497593,12.6875,0.541871921182266,0.10274149987050946,0.24339522809122016,0.19786472872540314,0.717091459079257,0.9872646719524604,0.7633240368249601,1D,BNBUSDT,Price vs EMA (stock-tuned),2019-2026
2820,0.6624113475177305,0.6818595390584976,0.3520403775585131,0.18122263306786268,4.125,0.6212121212121212,0.1043971290095823,0.2141154229994408,0.22195808974176015,0.4881033259768679,0.8874578698351665,0.7633240368249601,1D,BNBUSDT,SuperTrend (stock-tuned),2019-2026
2820,0.7099290780141844,0.7067424936608826,0.4030315701912888,0.2662799863969629,2.5,0.7,0.27214006459289475,0.2750050575020053,0.28186756192797413,0.7351898328688844,0.9905947678383519,0.7633240368249601,1D,BNBUSDT,Online directional-change (stock-tuned),2019-2026
2820,0.676241134751773,0.6733031447516633,0.3370458267712618,0.15523036292303072,1.9375,0.7096774193548387,0.2791092979772225,0.3736696681802153,0.3408591763682795,0.4260786040258559,0.7013676801439572,0.7633240368249601,1D,BNBUSDT,EMA cross (stock calm-tuned),2019-2026
2820,0.6943262411347517,0.6867078123459662,0.36526139359489923,0.3115944594907999,2.1875,0.7428571428571429,0.21409358999287056,0.32713163103574416,0.2949016951506387,0.8643699510656648,1.0443071393281635,0.7633240368249601,1D,BNBUSDT,SuperTrend (stock calm-tuned),2019-2026
2820,0.650354609929078,0.6578007909149823,0.30504699015297193,0.11598303790870343,1.625,0.8076923076923077,0.3111943101262852,0.4255249687430933,0.4116602379088614,0.3173469360119931,0.6932385767974917,0.7633240368249601,1D,BNBUSDT,Online directional-change (stock calm-tuned),2019-2026
