,y_ret,y_ret,y_ret,y_orc,y_orc,y_orc
,2019-21,2022-23,2024-26,2019-21,2022-23,2024-26
h1_dd_12,0.006281670851403742,0.0032089219251394407,0.002374527621245237,0.007892445718532759,0.005306062338652384,0.0058307031623427985
h1_dd_192,0.04283167211950589,0.04632296556754634,0.0021482307846334425,0.04696103413494723,0.04403567653996476,0.03766460654687842
h1_dd_24,0.01862537726039215,0.005447285241363953,-0.005680622697699866,0.023838721664808604,0.009057123551120205,-0.006025679892226576
h1_dd_384,0.040455045743932105,0.02873401216771898,-0.019226649630837422,0.04034242727249837,0.020943940755261625,-0.007063179280018206
h1_dd_48,0.010989880544776676,-0.01943254717863352,-0.006553073282670796,0.0331602696820088,-0.0027696717233595125,0.015341630848604515
h1_dd_6,0.0022813157827994424,-0.001389375021708994,-0.004037110138543243,0.004220417263895548,0.00024503798088704176,-0.00037879421926545476
h1_dd_96,0.022305409723807346,-0.0032242852066294847,0.006855649951848397,0.04418537983755377,0.022574433380608383,0.03995504065993272
h1_di14,0.01548176508918131,-0.0007060429797818846,-0.006590895366318017,0.05171098477513991,0.0065609538165284365,0.023017173451174933
h1_di56,0.02868087793071905,0.023339496458429587,-0.01247969844039526,0.050879854914670286,0.029793153292295593,0.026846652816809202
h1_don_pos_12,0.0062525042395004116,0.003230296925473386,0.0023786594455091903,0.007844680821797456,0.005338857825993304,0.00585612143237535
h1_don_pos_192,0.041417252182376796,0.042596033868688044,-0.003075030750307517,0.05097744919173497,0.04807447174514068,0.03976734843426555
h1_don_pos_24,0.018525807326342347,0.005522097742532761,-0.005556350137144783,0.02383877244606125,0.009258846737405957,-0.005718335810064756
h1_don_pos_384,0.0386332670496391,0.027592119571751894,-0.015913403320079733,0.042235428390250185,0.02965918682042179,0.004469740789441845
h1_don_pos_48,0.011054573196644046,-0.020059435860303676,-0.006078072408631008,0.03493364187243875,-0.0022208113974837573,0.016157650310319793
h1_don_pos_6,0.0022760754570364528,-0.0013907109592298794,-0.004029482155286701,0.004205115019696337,0.00024503798088704176,-0.00037352457791728355
h1_don_pos_96,0.020140409420392524,-0.00047425781991028426,0.004144855402042458,0.04801110783103146,0.028532383378009563,0.04423972404438148
h1_ema20_cross_rate_50,0.015469876275391536,-0.015645498291335935,0.015566330081905444,0.012421185505433807,-0.008340573091859538,-0.0024756465074986522
h1_ema_dist_10,0.037749766270980034,0.027895711373370435,-0.014172633974401716,0.057345050624326155,0.0268007197681297,-0.008510625766810331
h1_ema_dist_100,0.02187895872203849,0.01258119160283111,-0.010463050366937732,0.0547672783486175,0.031137149490494287,0.03480939087285717
h1_ema_dist_20,0.03446238278135516,0.016076004157437596,-0.014754744446669299,0.070006951652684,0.027421977679267573,0.0010251002316782332
h1_ema_dist_200,0.023857566765578597,0.024829066794204158,-0.01814919699584594,0.038090991134469454,0.028960271670391724,0.011684654742398215
h1_ema_dist_400,0.019709422958823275,0.022319508161242285,-0.028593495237277944,0.022964442793039774,0.017443486568700983,-0.0130377126532768
h1_ema_dist_50,0.01832647998024939,0.0007755117308673176,-0.012892880866793133,0.06307593172778725,0.022730366641172783,0.03130693924971473
h1_ema_slope_10,0.03665601460853685,0.03793194199893657,-0.02253528736837751,0.05234272973403409,0.02990762810659897,-0.013793751197293536
