variant,trades,win_rate,sharpe,cagr,max_dd,total,in_mkt,group,asset,start,end
HYBRID,311,0.3311897106109325,-0.36674772299843944,-0.06590748708730176,-0.6806176504025172,-0.6338908081749846,0.5783686267772002,Indices,US2000_USD,2005-08-17,2020-05-14
MODEL-FLIP,417,,0.07587164534347512,0.019091811873020115,-0.5060852548839923,0.321437323581802,1.0,Indices,US2000_USD,2005-08-17,2020-05-14
BUY & HOLD,0,,0.17142230727434588,0.043649814330883885,-0.5992038075112319,0.8769723564307996,1.0,Indices,US2000_USD,2005-08-17,2020-05-14
ORIGINAL,307,0.33876221498371334,-0.25940495727568,-0.04783278118722556,-0.5956446110937232,-0.5023271646093217,0.8678599792290305,Indices,UK100_GBP,2006-02-16,2020-05-14
HYBRID,196,0.3469387755102041,-0.2746646057962332,-0.04246948002075013,-0.5463502532115625,-0.4608951445991326,0.521656790274299,Indices,UK100_GBP,2006-02-16,2020-05-14
MODEL-FLIP,286,,-0.34349692510322,-0.0677351637448369,-0.735423007249462,-0.6315857477077321,1.0,Indices,UK100_GBP,2006-02-16,2020-05-14
BUY & HOLD,0,,-0.00043434938960262723,-8.867653181909851e-05,-0.4857693447969168,-0.001261731510448505,1.0,Indices,UK100_GBP,2006-02-16,2020-05-14
ORIGINAL,395,0.3493670886075949,-0.05514935894237394,-0.012252585721687415,-0.590372464129773,-0.16063559985513876,0.8664599330576885,Indices,JP225_USD,2006-02-28,2020-05-14
HYBRID,248,0.3548387096774194,-0.05062709844055479,-0.009274385955939657,-0.4735709799013128,-0.123963720588815,0.5636444181925576,Indices,JP225_USD,2006-02-28,2020-05-14
MODEL-FLIP,360,,-0.0348786164079423,-0.00863003821347752,-0.5503554948062819,-0.1158360806385722,1.0,Indices,JP225_USD,2006-02-28,2020-05-14
BUY & HOLD,0,,0.062168113581782466,0.015570316884824686,-0.6195218796659394,0.24539931099279677,1.0,Indices,JP225_USD,2006-02-28,2020-05-14
ORIGINAL,379,0.3403693931398417,-0.2784617994432414,-0.04720910929514166,-0.6513749397237493,-0.5071528319251877,0.8602214608471126,Indices,AU200_AUD,2005-09-26,2020-05-14
HYBRID,247,0.3076923076923077,-0.6189625048400693,-0.08717533630060958,-0.7682975012821773,-0.7367159233618747,0.49068970653955013,Indices,AU200_AUD,2005-09-26,2020-05-14
MODEL-FLIP,392,,-0.5254540647281598,-0.09843931970061004,-0.824272307506516,-0.7804527810911676,1.0,Indices,AU200_AUD,2005-09-26,2020-05-14
BUY & HOLD,0,,0.04914290072443721,0.009738162350215296,-0.5445220012584686,0.15233521535033523,1.0,Indices,AU200_AUD,2005-09-26,2020-05-14
ORIGINAL,293,0.35494880546075086,-0.11226240911169401,-0.023861225000508135,-0.5857287110484386,-0.29361545271373635,0.8950422606282327,Indices,FR40_EUR,2005-12-21,2020-05-14
HYBRID,187,0.32620320855614976,-0.2808531884424938,-0.04910888635029276,-0.5942646074247262,-0.5155610736637151,0.5476220512173584,Indices,FR40_EUR,2005-12-21,2020-05-14
MODEL-FLIP,298,,-0.4656098289348255,-0.10257038244136552,-0.821054714826752,-0.7893602657849251,1.0,Indices,FR40_EUR,2005-12-21,2020-05-14
BUY & HOLD,0,,-0.03121300469672348,-0.0072280440388560185,-0.5970117879145582,-0.09914429035113614,1.0,Indices,FR40_EUR,2005-12-21,2020-05-14
ORIGINAL,236,0.3855932203389831,0.23936689813015355,0.04502760609155687,-0.4322844694635246,0.6440583540046159,0.8876584817846253,Indices,NL25_EUR,2009-01-28,2020-05-14
HYBRID,149,0.40939597315436244,0.34517585469803824,0.05289366005189389,-0.3093337106060339,0.7892866034184283,0.5686888139945434,Indices,NL25_EUR,2009-01-28,2020-05-14
