n,acc,bal_acc,mcc,capture,flips_per_oracle_flip,flip_precision,entry_lag_frac,missed_move_frac,exit_giveback_frac,ls_sharpe,lf_sharpe,bh_sharpe,set,ticker,clf
1802,0.7253052164261932,0.6760681737483726,0.36304904319690395,-0.27803771964266527,2.6,0.6923076923076923,0.21735973597359737,0.42476705580525376,0.6143198380769834,-0.5852587938765168,-0.17597963036402672,0.30993261137270117,B,SNI-201803,Online directional-change (calm-tuned)
3941,0.7891398122303984,0.7165370366899688,0.46305935197883596,0.17656034522497666,1.7241379310344827,0.78,0.20512820512820512,0.3858941561757419,0.38625510193665935,0.41740892881398733,0.4645025569095037,0.3092595286727476,B,DG,MODEL calm
3941,0.786602385181426,0.7503326648799595,0.49211749465621835,0.1296715466228659,1.6551724137931034,0.8125,0.1794871794871795,0.3632650095406316,0.3892086305332,0.3040322062987726,0.42732395984636934,0.3092595286727476,B,DG,Crypto model C
3941,0.7084496320730779,0.6666321507331122,0.32168805519693777,0.026960476550123503,1.5172413793103448,0.7727272727272727,0.3181818181818182,0.4965692687192603,0.41633531236407734,0.05596785230822159,0.25611140681300804,0.3092595286727476,B,DG,EMA cross (calm-tuned)
3941,0.749809692971327,0.7481253631201155,0.4614926976976925,0.1389995165874064,2.413793103448276,0.7,0.16129032258064516,0.3243517018102921,0.34513234515448615,0.32195200256626527,0.4845913168684576,0.3092595286727476,B,DG,SuperTrend (calm-tuned)
3941,0.780005074854098,0.7415574963609899,0.47551947361636665,0.1333125317249626,1.5172413793103448,0.8181818181818182,0.1588785046728972,0.39593000836009445,0.40314974806945414,0.3137173376844962,0.43282079479054014,0.3092595286727476,B,DG,Online directional-change (calm-tuned)
3923,0.8067805251083354,0.7330042524465148,0.5201797392369047,0.15425484218851987,2.3636363636363638,0.6923076923076923,0.1784509600415153,0.3276136721204975,0.3794951828368423,0.3519771822629595,0.45632747475240465,0.3867077424750587,B,ZBRA,MODEL calm
3923,0.8146826408360949,0.7723718849013429,0.5566813825333464,0.23599803822223633,1.9090909090909092,0.7619047619047619,0.16670991177996886,0.317545340271682,0.3467996680536265,0.5449933614743194,0.6289406039843171,0.3867077424750587,B,ZBRA,Crypto model C
3923,0.7772113178689778,0.7450894222300349,0.48399439379838055,0.0831145087296906,2.090909090909091,0.717391304347826,0.2584373227453205,0.39218904380553427,0.4654380376821647,0.18658270090026138,0.40220761644671293,0.3867077424750587,B,ZBRA,EMA cross (calm-tuned)
3923,0.7598776446596992,0.7473319209375768,0.47219350108142355,-0.017786614658805464,3.5454545454545454,0.6410256410256411,0.09231315462453399,0.26606892134504023,0.2593602680270417,-0.05473842832571857,0.2407698804739485,0.3867077424750587,B,ZBRA,SuperTrend (calm-tuned)
3923,0.8128982921233749,0.7613998770715189,0.5461958036153434,0.13370114664580357,1.9090909090909092,0.7619047619047619,0.1606123508043591,0.36988526703742874,0.39010935795897694,0.30558320137201817,0.44570347525755677,0.3867077424750587,B,ZBRA,Online directional-change (calm-tuned)
3921,0.7967355266513645,0.6915364372687957,0.4079817536845685,0.15324568492715357,2.1818181818181817,0.7083333333333334,0.22258064516129034,0.37985225985226023,0.40367271054108744,0.32579844383078044,0.57963057345316,0.6100846860893686,B,ROST,MODEL calm
