asset,alpha,t,alpha_bh,t_bh,group
HRL,6.482934357029449e-05,0.6474033014192689,0.00010741025336399747,1.1344815069518281,Stocks all (1D)
HSH-201408,0.0004718611453255095,1.4239258791081997,0.0006149735919196283,1.3832105626157267,Stocks all (1D)
HSIC,-2.5950912042037542e-05,-0.22528819537625402,4.061101335629577e-05,0.3749443962286207,Stocks all (1D)
HSP-201509,-0.000219526958366565,-1.3882009997905438,-0.00018552899440586068,-1.120990257370449,Stocks all (1D)
HST,-0.00024076734371487519,-1.5192429536688419,-0.00014862729902239178,-0.9073664629373935,Stocks all (1D)
HSY,-5.142877677306085e-05,-0.4820045176458294,-1.947873784641879e-06,-0.017867011728960425,Stocks all (1D)
HUBB,-0.00024940914382332036,-2.013945883835812,-0.00020476516253907067,-1.6121726829630625,Stocks all (1D)
HUM,1.1054178221930008e-06,0.007116535603667017,0.00016300191598642974,0.8674414766343053,Stocks all (1D)
HWM,2.848990494434364e-05,0.10801584140986588,6.954151913769879e-05,0.23619255022035326,Stocks all (1D)
HYG,-9.669818222474846e-05,-2.9888107164440925,-0.00010397244543208037,-2.8803360536718774,Stocks all (1D)
IAI,-0.00029179618494774384,-2.2501813191643554,-0.0003212649621505529,-2.258712602908815,Stocks all (1D)
IAK,-0.00014002358166995298,-1.1902181928984532,-0.0001212163802737988,-0.9649032989173218,Stocks all (1D)
IAT,-0.00027852582578489197,-2.029317635305606,-0.0002541658865927999,-1.8852874776605737,Stocks all (1D)
IBB,0.00012186370312400487,1.0666049899328334,0.00012903902289192152,1.1436737886857935,Stocks all (1D)
IBKR,0.00018931876015922447,1.210014258955587,0.00020911700098540437,1.3376783883710852,Stocks all (1D)
IBM,-0.00021034540205026915,-1.7563304007137397,-0.00018322401137144074,-1.4882537302853127,Stocks all (1D)
ICE,-0.00010450016136766972,-0.8886334772509048,-6.725792197653484e-05,-0.5690611803081361,Stocks all (1D)
ICF,-0.00020896538300610313,-2.0573263909903403,-0.00015790421228224433,-1.5561965213368034,Stocks all (1D)
ICLN,3.920250814623481e-05,0.2549440074083772,3.23255307837913e-05,0.2046541633076698,Stocks all (1D)
IDGT,-0.00013124867078454622,-1.309819331271525,-0.00010129041349636162,-0.9869695766052641,Stocks all (1D)
IDNA,3.7839217787554424e-05,0.17254480633517208,0.00010415199256411303,0.471528145853429,Stocks all (1D)
IDRV,-0.0002390418974515296,-1.2236409478226842,-0.00021044361057508175,-0.9448760513504466,Stocks all (1D)
IDU,-3.0451734977805125e-05,-0.3461763402701358,1.631868938551309e-05,0.19225323000286476,Stocks all (1D)
IDXX,-0.00021826154410499107,-1.4080749867655546,-0.0002311045396083903,-1.5104419937371256,Stocks all (1D)
IEF,6.838083543249273e-06,0.36646276591329247,5.16635007982595e-06,0.2842497733167699,Stocks all (1D)
IEO,-0.0003833889573220383,-2.097738215555614,-0.00039360368876973566,-2.073979895190485,Stocks all (1D)
IETC,-0.00013797777138714625,-0.7713975142519889,-9.767746954487445e-05,-0.4326406047354115,Stocks all (1D)
IEX,-0.00019157915381380215,-1.6426136312102169,-0.0001987620421857712,-1.630198099349133,Stocks all (1D)
IEZ,-6.486507717170556e-05,-0.3402393673298913,-7.751852087403078e-05,-0.37458464104380246,Stocks all (1D)
IFF,-0.00018063279092781807,-1.3892790416656569,-0.00015520151339001303,-1.2122433911047241,Stocks all (1D)
IFGL,-0.00020864225163513665,-2.1250782097430267,-0.00020077130462909656,-1.9804823747712188,Stocks all (1D)
IFRA,-0.00012073658012347705,-0.6438711342073427,-0.00021182788062761596,-1.1470515594297679,Stocks all (1D)
IGE,-0.00023319348183208137,-2.203264706613798,-0.00020528512120305284,-1.7925464194575143,Stocks all (1D)
IGF,-0.00015624877377055888,-1.6405959298249608,-0.00012711069288225656,-1.2891697307972523,Stocks all (1D)
IGM,-0.00017161660309451043,-1.465648145027067,-0.0002048258986341988,-1.5787805892364672,Stocks all (1D)
IGV,-0.00010878463034992667,-0.9815428070753738,-0.0001475287616818893,-1.2157564722623564,Stocks all (1D)
IHAK,-0.00023266346476474669,-1.3821642958855598,-0.00021953623839942086,-1.2608281330929652,Stocks all (1D)
IHE,4.4396376583386944e-05,0.4925894554970195,4.345440744566117e-05,0.4793987773118331,Stocks all (1D)
IHF,3.162704009907317e-05,0.381077264409867,-7.969357145850459e-06,-0.09243708525182981,Stocks all (1D)
IHI,-4.375494575514606e-05,-0.4656417158676152,-3.4249859622201916e-05,-0.3454167976177334,Stocks all (1D)
IJH,-0.0002110383253602639,-2.434770477957021,-0.0002218448333017305,-2.2732507064004754,Stocks all (1D)
IJJ,-0.0002581312270436483,-2.800329770813553,-0.0002662384706709573,-2.4965460038760243,Stocks all (1D)
IJK,-0.00013713033587347395,-1.6161950558299205,-0.0001416044347416984,-1.493277360113592,Stocks all (1D)
