cand,label,cfg,split,fpt,miss,delay
"T1|('H', 5, 0.2, -0.2)",T1,"('H', 5, 0.2, -0.2)",0,1.3333333333333333,0.44986363206871144,16.0
"T1|('H', 5, 0.2, 0.0)",T1,"('H', 5, 0.2, 0.0)",0,3.6,0.4628603152561735,18.0
"T1|('H', 5, 0.2, 0.1)",T1,"('H', 5, 0.2, 0.1)",0,4.2,0.46893569421241876,18.0
"T1|('H', 5, 0.3, -0.3)",T1,"('H', 5, 0.3, -0.3)",0,1.0,0.4969638755619089,20.0
"T1|('H', 5, 0.3, 0.0)",T1,"('H', 5, 0.3, 0.0)",0,3.0,0.5045772922316032,22.0
"T1|('H', 5, 0.3, 0.15)",T1,"('H', 5, 0.3, 0.15)",0,4.0,0.5301977608405988,22.0
"T1|('H', 5, 0.4, -0.4)",T1,"('H', 5, 0.4, -0.4)",0,0.8333333333333334,0.5462587286555136,24.0
"T1|('H', 5, 0.4, 0.0)",T1,"('H', 5, 0.4, 0.0)",0,2.6666666666666665,0.6069107617339884,26.5
"T1|('H', 5, 0.4, 0.2)",T1,"('H', 5, 0.4, 0.2)",0,3.4,0.6105364653234688,27.0
"T1|('H', 5, 0.5, -0.5)",T1,"('H', 5, 0.5, -0.5)",0,0.5,0.5911319568575057,24.0
"T1|('H', 5, 0.5, 0.0)",T1,"('H', 5, 0.5, 0.0)",0,2.142857142857143,0.7195764684931651,33.0
"T1|('H', 5, 0.5, 0.25)",T1,"('H', 5, 0.5, 0.25)",0,2.75,0.7212379253385013,34.0
"T1|('H', 10, 0.1, -0.1)",T1,"('H', 10, 0.1, -0.1)",0,1.3333333333333333,0.45682926237226035,19.0
"T1|('H', 10, 0.1, 0.0)",T1,"('H', 10, 0.1, 0.0)",0,3.0,0.4653817037026472,19.0
"T1|('H', 10, 0.1, 0.05)",T1,"('H', 10, 0.1, 0.05)",0,3.5,0.4653817037026472,19.0
"T1|('H', 10, 0.2, -0.2)",T1,"('H', 10, 0.2, -0.2)",0,1.0,0.5,21.5
"T1|('H', 10, 0.2, 0.0)",T1,"('H', 10, 0.2, 0.0)",0,2.6666666666666665,0.5165579463471588,23.0
"T1|('H', 10, 0.2, 0.1)",T1,"('H', 10, 0.2, 0.1)",0,3.0,0.5184021357378927,23.5
"T1|('H', 10, 0.3, -0.3)",T1,"('H', 10, 0.3, -0.3)",0,0.8,0.5134542540570576,24.0
"T1|('H', 10, 0.3, 0.0)",T1,"('H', 10, 0.3, 0.0)",0,2.3333333333333335,0.589746689987202,27.0
"T1|('H', 10, 0.3, 0.15)",T1,"('H', 10, 0.3, 0.15)",0,2.8333333333333335,0.6006953225577959,27.5
"T1|('H', 10, 0.4, -0.4)",T1,"('H', 10, 0.4, -0.4)",0,0.5714285714285714,0.5750065083971727,23.0
"T1|('H', 10, 0.4, 0.0)",T1,"('H', 10, 0.4, 0.0)",0,2.0,0.6915898100328262,32.0
"T1|('H', 10, 0.4, 0.2)",T1,"('H', 10, 0.4, 0.2)",0,2.5,0.7195764684931651,33.0
"T1|('H', 10, 0.5, -0.5)",T1,"('H', 10, 0.5, -0.5)",0,0.25,0.5,21.0
"T1|('H', 10, 0.5, 0.0)",T1,"('H', 10, 0.5, 0.0)",0,1.4285714285714286,0.8422431375843601,38.0
"T1|('H', 10, 0.5, 0.25)",T1,"('H', 10, 0.5, 0.25)",0,1.8,0.8536131244017583,40.5
"T1|('C', 0, 0.0, 0.5)",T1,"('C', 0, 0.0, 0.5)",0,2.3333333333333335,0.3781323535645384,12.0
"T1|('C', 0, 0.0, 1)",T1,"('C', 0, 0.0, 1)",0,1.8333333333333333,0.41369830796192364,14.0
"T1|('C', 0, 0.0, 2)",T1,"('C', 0, 0.0, 2)",0,1.4,0.4593036510873465,17.0
"T1|('C', 0, 0.0, 4)",T1,"('C', 0, 0.0, 4)",0,1.0,0.49523437882662386,22.0
"T1|('C', 0, 0.0, 8)",T1,"('C', 0, 0.0, 8)",0,0.75,0.5097718070990294,24.5
"T1|('C', 0, 0.1, 0.5)",T1,"('C', 0, 0.1, 0.5)",0,1.75,0.4353791135177146,14.0
"T1|('C', 0, 0.1, 1)",T1,"('C', 0, 0.1, 1)",0,1.4,0.44387927346840006,16.0
"T1|('C', 0, 0.1, 2)",T1,"('C', 0, 0.1, 2)",0,1.2,0.49611259909134314,20.0
"T1|('C', 0, 0.1, 4)",T1,"('C', 0, 0.1, 4)",0,0.8571428571428571,0.5,24.5
"T1|('C', 0, 0.1, 8)",T1,"('C', 0, 0.1, 8)",0,0.5,0.5756331961675992,23.0
"T1|('C', 0, 0.2, 0.5)",T1,"('C', 0, 0.2, 0.5)",0,1.3333333333333333,0.4587417286433578,17.0
"T1|('C', 0, 0.2, 1)",T1,"('C', 0, 0.2, 1)",0,1.2,0.5002284747588148,19.0
"T1|('C', 0, 0.2, 2)",T1,"('C', 0, 0.2, 2)",0,0.8571428571428571,0.5320095569182037,23.5
"T1|('C', 0, 0.2, 4)",T1,"('C', 0, 0.2, 4)",0,0.6,0.5472205035285571,25.0
"T1|('C', 0, 0.2, 8)",T1,"('C', 0, 0.2, 8)",0,0.2857142857142857,0.5,20.0
"T1|('C', 0, 0.3, 0.5)",T1,"('C', 0, 0.3, 0.5)",0,1.1428571428571428,0.5041206403094176,20.0
"T1|('C', 0, 0.3, 1)",T1,"('C', 0, 0.3, 1)",0,0.8571428571428571,0.5394514883315864,23.0
"T1|('C', 0, 0.3, 2)",T1,"('C', 0, 0.3, 2)",0,0.6,0.538662138933613,25.0
"T1|('C', 0, 0.3, 4)",T1,"('C', 0, 0.3, 4)",0,0.2857142857142857,0.5,21.0
"T1|('C', 0, 0.3, 8)",T1,"('C', 0, 0.3, 8)",0,0.0,0.5,18.0
"TS|('H', 1, 0.1, -0.1)",TS,"('H', 1, 0.1, -0.1)",0,0.2857142857142857,0.5,7.0
"TS|('H', 1, 0.1, 0.0)",TS,"('H', 1, 0.1, 0.0)",0,2.25,0.5,14.0
"TS|('H', 1, 0.1, 0.05)",TS,"('H', 1, 0.1, 0.05)",0,5.4,0.5,14.0
"TS|('H', 1, 0.2, -0.2)",TS,"('H', 1, 0.2, -0.2)",0,0.0,0.5,11.0
"TS|('H', 1, 0.2, 0.0)",TS,"('H', 1, 0.2, 0.0)",0,1.1428571428571428,0.6889038785556288,24.0
"TS|('H', 1, 0.2, 0.1)",TS,"('H', 1, 0.2, 0.1)",0,4.166666666666667,0.8334244741432097,31.0
"TS|('H', 1, 0.3, -0.3)",TS,"('H', 1, 0.3, -0.3)",0,0.0,0.5,13.0
"TS|('H', 1, 0.3, 0.0)",TS,"('H', 1, 0.3, 0.0)",0,0.7142857142857143,0.9403425553241358,35.0
"TS|('H', 1, 0.3, 0.15)",TS,"('H', 1, 0.3, 0.15)",0,2.3333333333333335,1.0,41.0
"TS|('H', 1, 0.4, -0.4)",TS,"('H', 1, 0.4, -0.4)",0,0.0,0.5,14.0
"TS|('H', 1, 0.4, 0.0)",TS,"('H', 1, 0.4, 0.0)",0,0.3,1.0,40.0
"TS|('H', 1, 0.4, 0.2)",TS,"('H', 1, 0.4, 0.2)",0,0.8,1.0,61.0
"TS|('H', 1, 0.5, -0.5)",TS,"('H', 1, 0.5, -0.5)",0,0.0,0.5,19.0
"TS|('H', 1, 0.5, 0.0)",TS,"('H', 1, 0.5, 0.0)",0,0.0,1.0,48.5
"TS|('H', 1, 0.5, 0.25)",TS,"('H', 1, 0.5, 0.25)",0,0.0,1.0,66.0
"TS|('H', 3, 0.1, -0.1)",TS,"('H', 3, 0.1, -0.1)",0,0.0,0.5,9.5
"TS|('H', 3, 0.1, 0.0)",TS,"('H', 3, 0.1, 0.0)",0,1.1428571428571428,0.5,14.0
"TS|('H', 3, 0.1, 0.05)",TS,"('H', 3, 0.1, 0.05)",0,2.5714285714285716,0.5,17.0
"TS|('H', 3, 0.2, -0.2)",TS,"('H', 3, 0.2, -0.2)",0,0.0,0.5,12.5
"TS|('H', 3, 0.2, 0.0)",TS,"('H', 3, 0.2, 0.0)",0,0.6666666666666666,0.6583644043625121,23.0
"TS|('H', 3, 0.2, 0.1)",TS,"('H', 3, 0.2, 0.1)",0,2.125,0.858452967013104,34.5
"TS|('H', 3, 0.3, -0.3)",TS,"('H', 3, 0.3, -0.3)",0,0.0,0.5,13.0
"TS|('H', 3, 0.3, 0.0)",TS,"('H', 3, 0.3, 0.0)",0,0.5,1.0,28.0
"TS|('H', 3, 0.3, 0.15)",TS,"('H', 3, 0.3, 0.15)",0,1.25,1.0,43.0
"TS|('H', 3, 0.4, -0.4)",TS,"('H', 3, 0.4, -0.4)",0,0.0,0.5,15.5
"TS|('H', 3, 0.4, 0.0)",TS,"('H', 3, 0.4, 0.0)",0,0.2,1.0,32.0
"TS|('H', 3, 0.4, 0.2)",TS,"('H', 3, 0.4, 0.2)",0,0.5,1.0,59.5
"TS|('H', 3, 0.5, -0.5)",TS,"('H', 3, 0.5, -0.5)",0,0.0,0.5,19.5
"TS|('H', 3, 0.5, 0.0)",TS,"('H', 3, 0.5, 0.0)",0,0.0,1.0,48.5
"TS|('H', 3, 0.5, 0.25)",TS,"('H', 3, 0.5, 0.25)",0,0.0,1.0,66.0
"TS|('H', 5, 0.1, -0.1)",TS,"('H', 5, 0.1, -0.1)",0,0.0,0.5,11.0
"TS|('H', 5, 0.1, 0.0)",TS,"('H', 5, 0.1, 0.0)",0,0.8,0.5,15.5
"TS|('H', 5, 0.1, 0.05)",TS,"('H', 5, 0.1, 0.05)",0,1.7142857142857142,0.5525228988784154,20.0
"TS|('H', 5, 0.2, -0.2)",TS,"('H', 5, 0.2, -0.2)",0,0.0,0.5,12.5
"TS|('H', 5, 0.2, 0.0)",TS,"('H', 5, 0.2, 0.0)",0,0.5714285714285714,0.5271206807740447,21.5
"TS|('H', 5, 0.2, 0.1)",TS,"('H', 5, 0.2, 0.1)",0,1.6,0.8816697264931692,35.0
"TS|('H', 5, 0.3, -0.3)",TS,"('H', 5, 0.3, -0.3)",0,0.0,0.5,13.0
"TS|('H', 5, 0.3, 0.0)",TS,"('H', 5, 0.3, 0.0)",0,0.3333333333333333,0.8911521135830169,24.0
"TS|('H', 5, 0.3, 0.15)",TS,"('H', 5, 0.3, 0.15)",0,1.0,1.0,43.0
"TS|('H', 5, 0.4, -0.4)",TS,"('H', 5, 0.4, -0.4)",0,0.0,0.5,16.0
"TS|('H', 5, 0.4, 0.0)",TS,"('H', 5, 0.4, 0.0)",0,0.14285714285714285,1.0,30.0
"TS|('H', 5, 0.4, 0.2)",TS,"('H', 5, 0.4, 0.2)",0,0.4,1.0,58.0
"TS|('H', 5, 0.5, -0.5)",TS,"('H', 5, 0.5, -0.5)",0,0.0,0.5,19.5
"TS|('H', 5, 0.5, 0.0)",TS,"('H', 5, 0.5, 0.0)",0,0.0,1.0,45.0
"TS|('H', 5, 0.5, 0.25)",TS,"('H', 5, 0.5, 0.25)",0,0.0,1.0,68.0
"TS|('H', 10, 0.1, -0.1)",TS,"('H', 10, 0.1, -0.1)",0,0.0,0.5,12.0
"TS|('H', 10, 0.1, 0.0)",TS,"('H', 10, 0.1, 0.0)",0,0.3333333333333333,0.5,16.0
"TS|('H', 10, 0.1, 0.05)",TS,"('H', 10, 0.1, 0.05)",0,1.0,0.5,20.0
